


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2014.01.01 23:41 - 2014.12.29 23:59 (2014.01.01 - 2014.12.30)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 2000.00
                             Spread          10
                                                                 [Optimization Graph]
         Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
            7  17.79           12         10.12            1.48       4.86       0.24  RSI1_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=35;
            5  17.79           12         10.12            1.48       4.86       0.24  RSI1_SignalMethod=4; MaxOrders=0; MaxOrdersPerType=35;
           19   9.73           12          5.99            0.81       2.43       0.12 RSI1_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=35;
           17   9.73           12          5.99            0.81       2.43       0.12 RSI1_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=35;
            8   9.63           12          4.84            0.80       2.84       0.14  RSI1_SignalMethod=7; MaxOrders=0; MaxOrdersPerType=35;
            6   9.63           12          4.84            0.80       2.84       0.14  RSI1_SignalMethod=5; MaxOrders=0; MaxOrdersPerType=35;
           20   9.37           12          5.06            0.78       2.43       0.12 RSI1_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=35;
           18   9.37           12          5.06            0.78       2.43       0.12 RSI1_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=35;
           23   8.64           11          5.45            0.79       2.62       0.13 RSI1_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=35;
           21   8.64           11          5.45            0.79       2.62       0.13 RSI1_SignalMethod=20; MaxOrders=0; MaxOrdersPerType=35;
           40   6.06           19          1.61            0.32       7.95       0.40 RSI1_SignalMethod=39; MaxOrders=0; MaxOrdersPerType=35;
           38   6.06           19          1.61            0.32       7.95       0.40 RSI1_SignalMethod=37; MaxOrders=0; MaxOrdersPerType=35;
           39   0.67           22          1.04            0.03       9.29       0.46 RSI1_SignalMethod=38; MaxOrders=0; MaxOrdersPerType=35;
           37   0.67           22          1.04            0.03       9.29       0.46 RSI1_SignalMethod=36; MaxOrders=0; MaxOrdersPerType=35;
           64   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=63; MaxOrders=0; MaxOrdersPerType=35;
           63   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=62; MaxOrders=0; MaxOrdersPerType=35;
           62   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=61; MaxOrders=0; MaxOrdersPerType=35;
           61   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=60; MaxOrders=0; MaxOrdersPerType=35;
           60   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=59; MaxOrders=0; MaxOrdersPerType=35;
           59   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=58; MaxOrders=0; MaxOrdersPerType=35;
           58   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=57; MaxOrders=0; MaxOrdersPerType=35;
           57   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=56; MaxOrders=0; MaxOrdersPerType=35;
           48   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=47; MaxOrders=0; MaxOrdersPerType=35;
           47   0.00            0          0.00            0.00       0.00       0.00 RSI1_SignalMethod=46; MaxOrders=0; MaxOrdersPerType=35;
